번호,사업장명,소재지전체주소,도로명전체주소,개업일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지우편번호,입소정원,자격소유인원수,총인원수,위치정보(X),위치정보(Y),상세영업상태명
163,행복한 집,서울특별시 강서구 개화동 477-20번지 ,,20060627,운영중,,,,20140304,,,25,0,11,182305.160048       ,452967.620503       ,운영
164,천사노인전문요양원,서울특별시 강서구 화곡동 1010번지 ,,20041015,운영중,,,,,,,58,1,34,185244.365896       ,449395.774375       ,운영
165,천사노인요양센터,서울특별시 강서구 화곡동 1010번지 ,,20030422,운영중,,,,,,,33,1,23,185244.365896       ,449395.774375       ,운영
166,천사노인요양원,서울특별시 강서구 화곡동 1010번지 ,,19860701,운영중,,,,,,,161,1,28,185244.365896       ,449395.774375       ,운영
167,마추미실버케어 응암점,"서울특별시 은평구 응암동 301호,401호,501호 ",,20120830,운영중,,,,,,,32,4,4,,,운영
168,써니요양원,서울특별시 은평구 신사동 ,,20121022,운영중,,,,,,,38,4,,,,운영
169,은평효실버요양원,서울특별시 은평구 역촌동 85-1번지 ,,20110920,운영중,,,,,,,22,4,2,192493.098532       ,455371.370187       ,운영
170,새소망너싱홈,"서울특별시 은평구 갈현동 460-8번지 보성빌딩 4층,5층,6층 ",,20100621,운영중,,,,,,,71,2,5,192761.348927       ,457225.218523       ,운영
171,은평진요양원,서울특별시 은평구 대조동 15-87번지 5층 ,,20100304,운영중,,,,,,,15,2,,193590.75637        ,456302.927377       ,운영
172,한마음실버홈종합복지센터,서울특별시 은평구 역촌동 62-1번지 4층 ,,20100304,운영중,,,,,,,30,2,2,192429.140309       ,455926.64938        ,운영
173,노블요양센터,서울특별시 은평구 응암동 104-7번지 2층 ,,20100304,운영중,,,,,,,24,2,3,192972.51036        ,455129.703361       ,운영
174,엘림요양원,서울특별시 은평구 녹번동 160-32번지 ,,20100304,운영중,,,,,,,36,20,6,193105.632502       ,455543.004491       ,운영
175,은평노인간호센터,서울특별시 은평구 갈현동 492-11번지 ,,20090831,운영중,,,,,,,49,23,23,192359.293562       ,456973.93173        ,운영
176,해피안,서울특별시 은평구 구산동 7-54번지 ,,20090918,운영중,,,,,,,21,5,5,192303.582634       ,456541.68177        ,운영
177,붓다마을,서울특별시 은평구 진관동 250번지 ,,20090703,운영중,,,,,,,271,111,52,194467.839122       ,459654.72841        ,운영
178,호암마을,서울특별시 은평구 진관동 250번지 ,,20090710,운영중,,,,,,,12,4,4,194467.839122       ,459654.72841        ,운영
179,예수마을,서울특별시 은평구 진관동 250번지 ,,20090710,운영중,,,,,,,10,4,4,194467.839122       ,459654.72841        ,운영
180,서부엘림노인전문요양원,서울특별시 은평구 녹번동 160-32번지 ,,20081117,운영중,,,,,,,29,15,15,193105.632502       ,455543.004491       ,운영
181,자비의 집,서울특별시 은평구 녹번동 81-21번지 ,,20071204,운영중,,,,,,,25,8,13,193391.191128       ,455715.914227       ,운영
182,녹번실버홈,서울특별시 은평구 녹번동 31-14번지 ,,20070613,운영중,,,,,,,9,2,5,194099.785634       ,455767.090864       ,운영
183,마추미실버케어 응암점,"서울특별시 은평구 응암동 메트로타워 3층,4층,5층,10층.11층 ",,20131004,운영중,,,,,,,55,19,20,,,운영
