기간	자치구	동	전체인구	전체인구	전체인구	65세이상 인구	65세이상 인구	65세이상 인구
기간	자치구	동	전체인구	전체인구	전체인구	내국인	내국인	내국인
기간	자치구	동	계	남자	여자	계	남자	여자
2010	도봉구	창4동	31,369	15,221	16,148	2,725	1,099	1,626
2010	도봉구	창5동	28,458	14,018	14,440	2,587	1,132	1,455
2010	도봉구	도봉1동	25,355	12,850	12,505	3,537	1,677	1,860
2010	도봉구	도봉2동	31,863	15,854	16,009	3,928	1,773	2,155
2010	노원구	소계	615,425	301,141	314,284	56,977	22,655	34,322
2010	노원구	월계1동	24,907	12,641	12,266	2,612	1,194	1,418
2010	노원구	월계2동	31,767	15,567	16,200	3,548	1,377	2,171
2010	노원구	월계3동	36,853	17,993	18,860	3,673	1,480	2,193
2010	노원구	공릉2동	46,946	23,330	23,616	3,508	1,473	2,035
2010	노원구	하계1동	31,414	15,298	16,116	2,990	1,043	1,947
2010	노원구	하계2동	26,437	12,909	13,528	2,154	838	1,316
2010	노원구	중계본동	31,124	15,384	15,740	2,225	848	1,377
2010	노원구	중계1동	31,221	15,308	15,913	1,854	673	1,181
2010	노원구	중계4동	23,452	11,458	11,994	2,436	969	1,467
2010	노원구	상계1동	44,905	22,200	22,705	4,369	1,850	2,519
2010	노원구	상계2동	23,283	11,568	11,715	2,132	942	1,190
2010	노원구	상계5동	24,879	12,200	12,679	2,620	1,078	1,542
2010	노원구	상계8동	27,713	13,299	14,414	1,994	712	1,282
2010	노원구	상계9동	25,479	12,408	13,071	2,031	766	1,265
2010	노원구	상계10동	21,134	10,027	11,107	1,705	603	1,102
2010	노원구	공릉1.3동	41,498	20,403	21,095	3,736	1,597	2,139
2010	노원구	상계3.4동	41,279	20,784	20,495	5,258	2,227	3,031
2010	노원구	상계6.7동	38,042	17,999	20,043	3,120	1,163	1,957
2010	노원구	중계2.3동	43,092	20,365	22,727	5,012	1,822	3,190
2010	은평구	소계	492,925	242,564	250,361	53,650	23,386	30,264
2010	은평구	녹번동	36,539	17,805	18,734	4,289	1,869	2,420
2010	은평구	불광1동	39,064	19,171	19,893	4,431	1,889	2,542
2010	은평구	갈현1동	27,042	13,392	13,650	2,754	1,209	1,545
2010	은평구	갈현2동	28,248	13,680	14,568	2,813	1,225	1,588
2010	은평구	구산동	33,947	17,508	16,439	3,734	1,855	1,879
2010	은평구	대조동	31,881	15,328	16,553	3,719	1,631	2,088
2010	은평구	응암1동	33,131	16,212	16,919	3,456	1,514	1,942
2010	은평구	응암2동	20,155	10,017	10,138	2,522	1,073	1,449
2010	은평구	신사1동	28,027	13,797	14,230	2,766	1,258	1,508
2010	은평구	신사2동	23,892	12,090	11,802	2,292	982	1,310
2010	은평구	증산동	22,135	10,997	11,138	2,394	1,074	1,320
2010	은평구	수색동	20,930	10,466	10,464	2,572	1,049	1,523
2010	은평구	진관동	41,238	19,951	21,287	4,005	1,608	2,397
2010	은평구	불광2동	31,351	15,387	15,964	3,713	1,618	2,095
2010	은평구	응암3동	28,045	13,875	14,170	3,448	1,468	1,980
2010	은평구	역촌동	47,300	22,888	24,412	4,742	2,064	2,678
2010	서대문구	소계	333,871	162,823	171,048	39,221	16,609	22,612
2010	서대문구	천연동	20,842	10,174	10,668	2,569	1,006	1,563
2010	서대문구	홍제1동	28,845	13,897	14,948	3,494	1,474	2,020
2010	서대문구	홍제3동	20,908	10,211	10,697	2,790	1,153	1,637
2010	서대문구	홍제2동	16,427	7,907	8,520	1,863	769	1,094
2010	서대문구	홍은1동	27,470	13,470	14,000	3,457	1,453	2,004
2010	서대문구	홍은2동	30,380	15,013	15,367	3,451	1,483	1,968
2010	서대문구	남가좌1동	4,729	2,367	2,362	629	281	348
2010	서대문구	남가좌2동	31,921	15,682	16,239	3,762	1,610	2,152
2010	서대문구	북가좌1동	10,756	5,419	5,337	1,241	572	669
2010	서대문구	북가좌2동	35,394	17,465	17,929	3,959	1,719	2,240
2010	서대문구	충현동	24,370	12,083	12,287	3,073	1,279	1,794
2010	서대문구	북아현동	15,997	7,694	8,303	1,821	736	1,085
2010	서대문구	신촌동	21,459	9,714	11,745	1,914	816	1,098
2010	서대문구	연희동	44,373	21,727	22,646	5,198	2,258	2,940
2010	마포구	소계	400,464	195,145	205,319	41,237	17,556	23,681
2010	마포구	용강동	21,549	10,429	11,120	2,178	898	1,280
2010	마포구	대흥동	16,181	7,879	8,302	1,740	735	1,005
2010	마포구	염리동	18,908	9,341	9,567	2,103	880	1,223
2010	마포구	신수동	23,859	11,796	12,063	2,402	1,057	1,345
2010	마포구	서교동	29,760	13,967	15,793	2,993	1,366	1,627
2010	마포구	합정동	21,507	10,533	10,974	2,096	946	1,150
2010	마포구	망원1동	25,114	12,325	12,789	2,495	1,080	1,415
2010	마포구	망원2동	21,907	10,688	11,219	2,110	905	1,205
2010	마포구	연남동	20,777	10,060	10,717	2,248	974	1,274
